Customer ID,Recency,Frequency,Monetary,Cluster,Segment
C-1000,115,4,10926.755000000001,1,High Value
C-1001,249,5,4304.84,0,Mid Value
C-1002,594,1,4386.8,2,Low Value
C-1003,20,5,4945.37,0,Mid Value
C-1004,162,5,8559.5975,1,High Value
C-1005,19,3,3019.26,0,Mid Value
C-1006,1,5,1941.3,0,Mid Value
C-1008,468,3,2898.7400000000002,0,Mid Value
C-1009,3,6,8559.487500000001,1,High Value
C-1010,279,5,7868.360000000001,1,High Value
C-1011,149,5,10143.515000000001,1,High Value
C-1012,1276,1,1181.46,2,Low Value
C-1013,178,4,8401.77,1,High Value
C-1014,48,4,2821.8300000000004,0,Mid Value
C-1015,137,3,1100.82,0,Mid Value
C-1016,144,3,12671.555,1,High Value
C-1017,286,2,5057.137500000001,0,Mid Value
C-1018,266,4,4663.65,0,Mid Value
C-1019,594,4,4291.27,0,Mid Value
C-1020,394,3,6965.347500000001,0,Mid Value
C-1021,85,6,6987.3175,1,High Value
C-1022,230,2,4240.11,0,Mid Value
C-1023,580,3,714.68,2,Low Value
C-1024,204,2,2897.84,0,Mid Value
C-1025,677,3,3794.96,2,Low Value
C-1026,526,3,4376.780000000001,0,Mid Value
C-1027,259,4,5141.587500000001,0,Mid Value
C-1028,1275,1,3714.24,2,Low Value
C-1029,1120,2,1235.3600000000001,2,Low Value
C-1030,17,1,273.28,0,Mid Value
C-1031,3,6,8717.567500000001,1,High Value
C-1032,27,4,5542.92,0,Mid Value
C-1033,500,2,919.3800000000001,2,Low Value
C-1034,2,3,5440.0599999999995,0,Mid Value
C-1035,148,4,9961.5075,1,High Value
C-1036,55,3,2087.28,0,Mid Value
C-1037,13,6,11737.11,1,High Value
C-1039,39,5,10114.3775,1,High Value
C-1040,475,3,657.54,0,Mid Value
C-1041,604,4,8597.5475,1,High Value
C-1042,59,1,48.63,0,Mid Value
C-1043,1422,1,59.58,2,Low Value
C-1044,126,6,2101.3199999999997,0,Mid Value
C-1045,31,5,2655.3199999999997,0,Mid Value
C-1046,237,4,10135.577500000001,1,High Value
C-1047,90,3,3750.1499999999996,0,Mid Value
C-1048,366,3,9387.275000000001,0,Mid Value
C-1049,677,4,4424.64,2,Low Value
C-1050,103,4,5073.7475,0,Mid Value
C-1051,88,2,5084.4075,0,Mid Value
C-1052,112,2,3299.79,0,Mid Value
C-1053,14,5,4213.68,0,Mid Value
C-1054,13,7,11497.62,1,High Value
C-1055,24,11,9128.487500000001,1,High Value
C-1056,62,3,2916.0499999999997,0,Mid Value
C-1057,188,7,7077.2575,1,High Value
C-1058,205,7,12611.185000000001,1,High Value
C-1059,775,2,1298.06,2,Low Value
C-1060,230,4,2565.4,0,Mid Value
C-1061,283,4,7251.610000000001,0,Mid Value
C-1062,37,4,5284.55,0,Mid Value
C-1063,94,2,1497.21,0,Mid Value
C-1064,34,8,7390.88,1,High Value
C-1065,1011,1,2063.21,2,Low Value
C-1066,496,5,7706.747500000001,1,High Value
C-1067,77,2,121.34,0,Mid Value
C-1068,67,6,6348.897500000001,1,High Value
C-1069,175,5,5423.720000000001,0,Mid Value
C-1070,710,4,9175.1175,1,High Value
C-1071,106,5,6580.6575,1,High Value
C-1072,589,4,6299.317500000001,0,Mid Value
C-1073,56,9,8190.61,1,High Value
C-1074,8,3,9645.815000000002,1,High Value
C-1075,32,2,4693.607500000001,0,Mid Value
C-1076,633,5,1437.6799999999998,2,Low Value
C-1077,642,2,534.87,2,Low Value
C-1078,459,4,9719.43,1,High Value
C-1079,227,11,9643.43,1,High Value
C-1080,374,5,17601.382500000003,1,High Value
C-1081,138,4,3272.83,0,Mid Value
C-1082,106,5,9177.1375,1,High Value
C-1083,366,4,7537.767500000001,0,Mid Value
C-1084,13,4,5486.397500000001,0,Mid Value
C-1085,533,5,7992.1475,1,High Value
C-1086,413,3,3363.38,0,Mid Value
C-1087,1389,1,261.5,2,Low Value
C-1088,491,4,1643.2400000000002,0,Mid Value
C-1089,476,5,8908.43,1,High Value
C-1090,136,5,1309.25,0,Mid Value
C-1091,461,4,5279.2475,0,Mid Value
C-1092,237,3,5681.9975,0,Mid Value
C-1093,452,4,5258.967500000001,0,Mid Value
C-1094,338,4,10763.045000000002,1,High Value
C-1095,103,8,14128.095000000001,1,High Value
C-1096,354,2,524.73,0,Mid Value
C-1097,55,5,6997.347500000001,1,High Value
C-1098,124,4,2477.16,0,Mid Value
C-1099,76,3,6314.2375,0,Mid Value
