Order Date,Total Sales,lag_1,lag_3,lag_7,lag_14,lag_30,rolling_mean_7,rolling_std_7,rolling_mean_30,rolling_std_30,rolling_mean_90,rolling_std_90,ema_0.1,ema_0.3,ema_0.5,IsHoliday,DayOfWeek,Month,Quarter,Year
2021-03-31,15659.4175,8784.56,7306.99,12373.407500000001,5936.24,14675.4675,12117.164999999999,4505.055530176164,12563.963333333335,6185.061489590348,11786.02205204179,5621.442056386479,12209.996300055642,12581.079941619677,13439.770475754345,0,2,3,1,2021
2021-04-01,6869.1875,15659.4175,18781.8075,14548.0075,18597.522500000003,18954.9025,11020.190714285714,4743.099487253323,12161.106166666666,6147.924053129042,11789.08269093068,5618.657605669119,11675.915420050078,10867.512209133773,10154.478987877173,0,3,4,2,2021
2021-04-02,10854.4775,6869.1875,8784.56,12567.165,18276.585,14964.757500000002,10775.52107142857,4693.9188543205055,12024.096833333335,6129.059683967045,11882.318885375125,5531.105387423699,11593.771628045071,10863.601796393641,10504.478243938587,0,4,4,2,2021
2021-04-03,9391.66,10854.4775,15659.4175,7172.2075,19191.2675,13308.075,11092.585714285715,4480.043491648945,11893.549666666666,6142.462868248535,11918.200913152903,5503.989275658737,11373.560465240564,10422.019257475547,9948.069121969293,0,5,4,2,2021
2021-04-04,13561.5975,9391.66,6869.1875,7306.99,15731.987500000001,9448.6075,11986.101071428571,4215.080753560625,12030.649333333333,6131.901894204993,11916.250916666668,5503.368675943883,11592.364168716507,11363.892730232883,11754.833310984646,0,6,4,2,2021
2021-04-05,7189.34,13561.5975,10854.4775,18781.8075,1642.1200000000001,13031.1875,10330.034285714286,3271.870644245337,11835.921083333333,6191.501492067951,11812.881083333334,5503.816604031829,11152.061751844856,10111.526911163017,9472.086655492323,0,0,4,2,2021
2021-04-06,5582.2,7189.34,9391.66,8784.56,4652.21,14216.3775,9872.554285714286,3717.509225723732,11548.115166666666,6277.116399047494,11789.519527777778,5525.9535463853135,10595.07557666037,8752.728837814111,7527.143327746162,0,1,4,2,2021
2021-04-07,16337.825000000003,5582.2,13561.5975,15659.4175,12373.407500000001,9514.43,9969.469642857144,3897.97897426865,11775.561666666668,6324.32906608604,11852.010055555556,5545.416836006056,11169.350518994333,11028.257686469879,11932.484163873083,0,2,4,2,2021
2021-04-08,5895.89,16337.825000000003,7189.34,6869.1875,14548.0075,2674.95,9830.427142857143,4041.707818212089,11882.926333333333,6190.428086692867,11859.789499999999,5536.457970088946,10642.004467094901,9488.547380528915,8914.187081936541,0,3,4,2,2021
2021-04-09,26603.1025,5895.89,5582.2,10854.4775,12567.165,10904.9575,12080.230714285715,7559.266490637325,12406.197833333335,6743.66463470645,12030.499,5749.858913650681,12238.114270385411,14622.91391637024,17758.644790968272,0,4,4,2,2021
