Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Region,Category,Sub-Category,Product Name,Unit Price,Quantity,Discount,Total Sales,Profit,Year,Quarter,Month,Week,Day,DayOfWeek,IsWeekend,MonthName,DayName
9869,2021-01-01,2021-01-05,Second Class,C-1017,Customer C-1017,Consumer,Tennessee City 4,Tennessee,South,Clothing,T-Shirts,Best T-Shirts 653,130.35,3,0.0,391.05,99.71,2021,1,1,53,1,4,0,January,Friday
14746,2021-01-01,2021-01-06,First Class,C-3402,Customer C-3402,Consumer,Michigan City 1,Michigan,Central,Office Supplies,Paper,Acme Paper 948,28.37,7,0.4,119.15,-19.37,2021,1,1,53,1,4,0,January,Friday
2770,2021-01-01,2021-01-04,Standard Class,C-4577,Customer C-4577,Home Office,Michigan City 2,Michigan,Central,Clothing,Dresses,Premium Dresses 825,151.95,2,0.0,303.9,76.27,2021,1,1,53,1,4,0,January,Friday
8305,2021-01-01,2021-01-05,First Class,C-3993,Customer C-3993,Corporate,Pennsylvania City 4,Pennsylvania,East,Technology,Phones,Value Phones 715,444.55,9,0.0,4000.95,962.6787499999998,2021,1,1,53,1,4,0,January,Friday
3367,2021-01-01,2021-01-01,Second Class,C-3841,Customer C-3841,Consumer,Massachusetts City 4,Massachusetts,East,Office Supplies,Art,Value Art 968,45.09,5,0.0,225.45,45.29,2021,1,1,53,1,4,0,January,Friday
12105,2021-01-01,2021-01-06,Same Day,C-1447,Customer C-1447,Consumer,California City 4,California,West,Home & Garden,Garden Tools,Global Garden Tools 415,221.89,7,0.0,1553.23,369.25,2021,1,1,53,1,4,0,January,Friday
10081,2021-01-02,2021-01-04,Second Class,C-1279,Customer C-1279,Home Office,Massachusetts City 4,Massachusetts,East,Office Supplies,Appliances,Value Appliances 813,75.53,3,0.0,226.59,90.54,2021,1,1,53,2,5,1,January,Saturday
8331,2021-01-02,2021-01-06,Same Day,C-2435,Customer C-2435,Corporate,Illinois City 1,Illinois,Central,Home & Garden,Garden Tools,Value Garden Tools 824,86.11,5,0.0,430.55,92.18,2021,1,1,53,2,5,1,January,Saturday
9113,2021-01-02,2021-01-06,First Class,C-3631,Customer C-3631,Home Office,Oregon City 4,Oregon,West,Office Supplies,Labels,Premium Labels 209,28.56,1,0.0,28.56,7.29,2021,1,1,53,2,5,1,January,Saturday
12251,2021-01-02,2021-01-02,First Class,C-1693,Customer C-1693,Consumer,Illinois City 2,Illinois,Central,Clothing,T-Shirts,Premium T-Shirts 879,99.71,8,0.0,797.68,258.22,2021,1,1,53,2,5,1,January,Saturday
5323,2021-01-02,2021-01-03,First Class,C-3702,Customer C-3702,Consumer,California City 4,California,West,Clothing,Trousers,Value Trousers 929,122.48,8,0.0,979.84,313.36,2021,1,1,53,2,5,1,January,Saturday
14438,2021-01-03,2021-01-04,First Class,C-2845,Customer C-2845,Consumer,Virginia City 3,Virginia,South,Technology,Phones,Acme Phones 185,1352.81,9,0.1,4666.087500000001,962.6787499999998,2021,1,1,53,3,6,1,January,Sunday
10283,2021-01-03,2021-01-05,First Class,C-4829,Customer C-4829,Consumer,Washington City 2,Washington,West,Office Supplies,Fasteners,Premium Fasteners 591,62.69,8,0.0,501.52,168.64,2021,1,1,53,3,6,1,January,Sunday
5793,2021-01-03,2021-01-06,First Class,C-4858,Customer C-4858,Corporate,Pennsylvania City 1,Pennsylvania,East,Home & Garden,Plants,Premium Plants 410,268.21,6,0.5,804.63,-101.48,2021,1,1,53,3,6,1,January,Sunday
