Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Region,Category,Sub-Category,Product Name,Unit Price,Quantity,Discount,Total Sales,Profit
9869,2021-01-01,2021-01-05,Second Class,C-1017,Customer C-1017,Consumer,Tennessee City 4,Tennessee,South,Clothing,T-Shirts,Best T-Shirts 653,130.35,3,0.0,391.05,99.71
14746,2021-01-01,2021-01-06,First Class,C-3402,Customer C-3402,Consumer,Michigan City 1,Michigan,Central,Office Supplies,Paper,Acme Paper 948,28.37,7,0.4,119.15,-19.37
2770,2021-01-01,2021-01-04,Standard Class,C-4577,Customer C-4577,Home Office,Michigan City 2,Michigan,Central,Clothing,Dresses,Premium Dresses 825,151.95,2,0.0,303.9,76.27
8305,2021-01-01,2021-01-05,First Class,C-3993,Customer C-3993,Corporate,Pennsylvania City 4,Pennsylvania,East,Technology,Phones,Value Phones 715,444.55,9,0.0,4000.95,1228.46
3367,2021-01-01,2021-01-01,Second Class,C-3841,Customer C-3841,Consumer,Massachusetts City 4,Massachusetts,East,Office Supplies,Art,Value Art 968,45.09,5,0.0,225.45,45.29
12105,2021-01-01,2021-01-06,Same Day,C-1447,Customer C-1447,Consumer,California City 4,California,West,Home & Garden,Garden Tools,Global Garden Tools 415,221.89,7,0.0,1553.23,369.25
10081,2021-01-02,2021-01-04,Second Class,C-1279,Customer C-1279,Home Office,Massachusetts City 4,Massachusetts,East,Office Supplies,Appliances,Value Appliances 813,75.53,3,0.0,226.59,90.54
8331,2021-01-02,2021-01-06,Same Day,C-2435,Customer C-2435,Corporate,Illinois City 1,Illinois,Central,Home & Garden,Garden Tools,Value Garden Tools 824,86.11,5,0.0,430.55,92.18
9113,2021-01-02,2021-01-06,First Class,C-3631,Customer C-3631,Home Office,Oregon City 4,Oregon,West,Office Supplies,Labels,Premium Labels 209,28.56,1,0.0,28.56,7.29
12251,2021-01-02,2021-01-02,First Class,C-1693,Customer C-1693,Consumer,Illinois City 2,Illinois,Central,Clothing,T-Shirts,Premium T-Shirts 879,99.71,8,0.0,797.68,258.22
5323,2021-01-02,2021-01-03,First Class,C-3702,Customer C-3702,Consumer,California City 4,California,West,Clothing,Trousers,Value Trousers 929,122.48,8,0.0,979.84,313.36
14438,2021-01-03,2021-01-04,First Class,C-2845,Customer C-2845,Consumer,Virginia City 3,Virginia,South,Technology,Phones,Acme Phones 185,1352.81,9,0.1,10957.76,1584.97
10283,2021-01-03,2021-01-05,First Class,C-4829,Customer C-4829,Consumer,Washington City 2,Washington,West,Office Supplies,Fasteners,Premium Fasteners 591,62.69,8,0.0,501.52,168.64
5793,2021-01-03,2021-01-06,First Class,C-4858,Customer C-4858,Corporate,Pennsylvania City 1,Pennsylvania,East,Home & Garden,Plants,Premium Plants 410,268.21,6,0.5,804.63,-101.48
11606,2021-01-03,2021-01-04,Second Class,C-3053,Customer C-3053,Home Office,Tennessee City 1,Tennessee,South,Home & Garden,Decor,Global Decor 260,47.51,4,0.0,190.04,41.03
4726,2021-01-04,2021-01-08,Same Day,C-2291,Customer C-2291,Corporate,Michigan City 2,Michigan,Central,Home & Garden,Garden Tools,Premium Garden Tools 671,210.01,1,0.0,210.01,76.3
12949,2021-01-04,2021-01-05,Second Class,C-4876,Customer C-4876,Corporate,Massachusetts City 1,Massachusetts,East,Office Supplies,Binders,Acme Binders 927,98.28,6,0.1,2502.099683761167,235.564817474734
1705,2021-01-04,2021-01-05,First Class,C-4186,Customer C-4186,Consumer,Florida City 4,Florida,South,Technology,Copiers,Acme Copiers 651,1931.64,4,0.5,3863.28,-646.27
1882,2021-01-04,2021-01-05,Second Class,C-1135,Customer C-1135,Consumer,Oregon City 2,Oregon,West,Home & Garden,Garden Tools,Premium Garden Tools 702,213.26,4,0.1,767.74,117.75
7173,2021-01-04,2021-01-05,Standard Class,C-2452,Customer C-2452,Consumer,North Carolina City 3,North Carolina,South,Home & Garden,Plants,Global Plants 328,228.89,8,0.5,915.56,-130.96
10324,2021-01-04,2021-01-08,Standard Class,C-1645,Customer C-1645,Home Office,Tennessee City 4,Tennessee,South,Clothing,Dresses,Premium Dresses 958,32.4,3,0.0,97.2,23.84
9220,2021-01-04,2021-01-06,First Class,C-1959,Customer C-1959,Consumer,North Carolina City 1,North Carolina,South,Office Supplies,Appliances,Value Appliances 385,23.03,4,0.0,92.12,33.73
4290,2021-01-04,2021-01-06,First Class,C-1288,Customer C-1288,Home Office,Illinois City 2,Illinois,Central,Office Supplies,Storage,Global Storage 147,82.22,1,0.0,82.22,19.77
4556,2021-01-04,2021-01-09,Standard Class,C-4341,Customer C-4341,Consumer,Pennsylvania City 2,Pennsylvania,East,Technology,Phones,Premium Phones 184,1019.39,6,0.0,6116.34,1519.62
7022,2021-01-04,2021-01-04,Same Day,C-2136,Customer C-2136,Consumer,Virginia City 4,Virginia,South,Office Supplies,Paper,Premium Paper 186,72.87,4,0.0,291.48,64.07
7747,2021-01-04,2021-01-09,Standard Class,C-4561,Customer C-4561,Consumer,North Carolina City 2,North Carolina,South,Home & Garden,Garden Tools,Premium Garden Tools 841,124.65,2,0.0,249.3,88.57
10761,2021-01-05,2021-01-09,First Class,C-2631,Customer C-2631,Corporate,California City 2,California,West,Technology,Phones,Premium Phones 387,1552.98,7,0.0,10870.86,4179.63
2905,2021-01-05,2021-01-06,First Class,C-1489,Customer C-1489,Home Office,Florida City 3,Florida,South,Clothing,Trousers,Premium Trousers 226,64.14,5,0.3,224.49,5.19
